0	23.541	0	0	0	0	-0.55123	0	0	21.186	8.6138	0	0	-4.7531	0	0	0.054478	0	-15.123	0.48131	0	0	-0.11277	0	0	-56.189	0	-0.023463	0	0	0.31223	0	0	-4.8391	26.74	0	0	0	0	-1.2919	1.9541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	8.7718	0	0	0	0	0	2.9931	0	0	0	0	0	4.5873	0	0	1.5599	0	0	-0.83942	0.28163	0	0	0	0	-40.31	0	0	-2.045	-4.7506	0	0.76929	0	0	0.79945	0	0	0	0	0	0	0	0	0	-1.4248	10.059	16.766	4.26	-1.4783	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-2.382	-0.52289	4.2795	0	-6.2553	0	7.6616	0	10.403	0	0	0	0.59003	0	6.5564	0	0	-7.0704	1.9976	0	7.3618	0	0.040802	0	3.0623	0	-24.533	0	2.2478	0.48106	-0.70815	0	-2.024	0	0	0	0	0	0	0	-0.53203	0.47301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8014	1.918	-2.3397	0.09542	0
0.83679	0	0	0	14.977	0	-0.27621	0	0	0	0.4215	0	0	0	0	0	6.245	0	0	0	0	0	-0.97969	0	0	0	0	0	-39.059	0	0	0	0	0	-0.36084	0	0.93464	0.022574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.813	7.6353	-1.2107	0	0	0	0	0	0	0	0	0
0	0	7.0667	-6.3606	0	23.239	0	0	0.44195	0	0	1.4408	0	0	-4.9727	0	0	13.51	0	0	0	3.0994	0	0.9673	0	0	-6.3039	-0.073969	0	-39.622	4.1095	0	0	-0.67982	0	3.881	0	0	0	0	0	0	0	0	0	0	0	4.9127	-4.3517	1.5078	-1.6147	0	0	0	0	0	0	0	0	0	0	0	0	-0.19613
-1.4477	0	5.6092	-0.63874	0	1.1681	7.0235	0	-0.37578	-14.444	0	0	-0.47206	0	10.356	0	0.32507	-1.2979	15.566	0	0	-1.3428	0	0	0.18956	2.5228	0.25927	0.21067	0	0.49211	-26.862	0	2.7922	9.4231	-9.0572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-3.164	0	0	0	0	0	0.40169	0	0.46532	0	0	0	4.8731	0	0	0	0	0	5.9378	0	0	0	0	0	0	0	-0.98818	0	0	0	-37.018	0	0	0	0	0	0	0	0	0	-4.3971	8.4315	3.8058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.482	2.0458	0.12435	0	0	0
-2.4526	0	-1.5532	0	0	0	-4.6788	0	2.8297	0	0	0	13.114	0	13.707	0	0	0	0	0	8.1139	0	0	0	9.7338	0	0.76956	0	0	0	-7.3342	0	-26.86	0	0	0	0	0	0	0	0	0	0	0	0	-0.3572	-1.1224	0	0	0	0	0	0	0	0.85813	-6.6912	2.8739	-0.94983	0	0	0	0	0	0
0	-0.8443	0.94917	-6.6521	0	4.7191	-0.56637	-1.3956	0	7.6109	0	0	0	0	-7.5477	0.69624	0	0	9.1687	1.4567	0	11.018	0	0	0.33463	1.4898	0	2.8868	0	-1.41	10.26	0	0	-28.637	-3.438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.09895	0	0	0
-0.16838	0.0031164	0	0	2.8747	0	20.03	0	0	5.0555	6.6085	0	0	0	0	0	3.3477	0	7.0601	0	0	0	-1.4921	0	-15.288	5.8175	0	0	-3.6337	0	-0.2367	0	0	-0.18802	-30.155	0	0	0	0	-0.7229	0.20686	0	0	0	0	0	0	0	0	0	0	0	0	0.88019	0	0	0	0	0	0	0	0	0	0
